# Zones

## General
PlayerInitRequestHandler.LevelCap:			            이 전장의 레벨 제한을 초과했습니다!
PlayerPositionUpdateHandler.UnknownZone:		        알 수 없는 지역입니다. 바인드 지점으로 이동합니다.

## Battlegrounds
Zone.Description.Braemar:							브레이마
Zone.ScreenDescription.Braemar:						브레이마
Zone.Description.CathalValley:						카탈 계곡
Zone.ScreenDescription.CathalValley:				카탈 계곡
Zone.Description.Killaloe:							킬랄루
Zone.ScreenDescription.Killaloe:					킬랄루
Zone.Description.Leirvik:							레이르비크
Zone.ScreenDescription.Leirvik:						레이르비크
Zone.Description.Molvik:							몰비크
Zone.ScreenDescription.Molvik:						몰비크
Zone.Description.TheHillsofClaret:					클라렛 힐스
Zone.ScreenDescription.TheHillsofClaret:			클라렛 힐스
Zone.Description.TheLionsDen:						사자의 소굴
Zone.ScreenDescription.TheLionsDen:					사자의 소굴
Zone.Description.TheProvingGrounds:					시험장
Zone.ScreenDescription.TheProvingGrounds:			시험장
Zone.Description.TestBG:							테스트 전장
Zone.ScreenDescription.TestBG:						테스트 전장
Zone.Description.Thidranki:							시드란키
Zone.ScreenDescription.Thidranki:					시드란키
Zone.Description.Wilton:							윌튼
Zone.ScreenDescription.Wilton:						윌튼

## RvR
Zone.Description.DarknessFalls:						다크니스 폴스
Zone.ScreenDescription.DarknessFalls:				다크니스 폴스
Zone.Description.Demonsbreach:						데몬스 브리치
Zone.ScreenDescription.Demonsbreach:				데몬스 브리치
Zone.Description.Summoner'sHall:					소환사의 전당
Zone.ScreenDescription.Summoner'sHall:				소환사의 전당


## Albion
### Capital
Zone.Description.CityofCamelot:						카멜롯
Zone.ScreenDescription.CityofCamelot:				카멜롯

### Classic
Zone.Description.AvalonMarsh:						아발론 습지
Zone.ScreenDescription.AvalonMarsh:					아발론 습지
Zone.Description.BlackMtns.North:					블랙 산맥 북부
Zone.ScreenDescription.BlackMtns.North:				블랙 산맥 북부
Zone.Description.BlackMtns.South:					블랙 산맥 남부
Zone.ScreenDescription.BlackMtns.South:			    블랙 산맥 남부
Zone.Description.CamelotHills:						카멜롯 힐스
Zone.ScreenDescription.CamelotHills:				카멜롯 힐스
Zone.Description.CampacorentinForest:				캄파코렌틴 숲
Zone.ScreenDescription.CampacorentinForest:			캄파코렌틴 숲
Zone.Description.Cornwall:							콘월
Zone.ScreenDescription.Cornwall:					콘월
Zone.Description.Dartmoor:							다트무어
Zone.ScreenDescription.Dartmoor:					다트무어
Zone.Description.LlynBarfog:						흘린 바르포그
Zone.ScreenDescription.Llyn Barfog:					흘린 바르포그
Zone.Description.Lyonesse:							리오네스
Zone.ScreenDescription.Lyonesse:					리오네스
Zone.Description.SalisburyPlains:					솔즈베리 평원
Zone.ScreenDescription.SalisburyPlains:				솔즈베리 평원

### Dungeons
Zone.Description.AvalonCity:						아발론 도시
Zone.ScreenDescription.AvalonCity:					아발론 도시
Zone.Description.CaerSidi:							카에르 시디
Zone.ScreenDescription.CaerSidi:					카에르 시디
Zone.Description.CatacombsofCardova:				카르도바 지하묘지
Zone.ScreenDescription.CatacombsofCardova:			카르도바 지하묘지
Zone.Description.CrystalCave:						수정 동굴
Zone.ScreenDescription.CrystalCave:					수정 동굴
Zone.Description.KeltoiFogou:						켈토이 포구
Zone.ScreenDescription.KeltoiFogou:					켈토이 포구
Zone.Description.Krondon:							크론돈
Zone.ScreenDescription.Krondon:						크론돈
Zone.Description.StonehengeBarrows:					스톤헨지 고분
Zone.ScreenDescription.StonehengeBarrows:			스톤헨지 고분
Zone.Description.Tepok'sMine:						테포크의 광산
Zone.ScreenDescription.Tepok'sMine:					테포크의 광산
Zone.Description.TombofMithra:						미트라의 무덤
Zone.ScreenDescription.TombofMithra:				미트라의 무덤

### Frontier
Zone.Description.ForestSauvage:						소바주 숲
Zone.ScreenDescription.ForestSauvage:				소바주 숲
